time;X_value;Y_value;Z_value
Started:;окт. 16 2020;11:35:08:193; 
0,9941;-0,48001;0,33734;0,05106
0,9958;-0,41525;0,19379;0,06450
0,9982;-0,38166;0,13820;0,05533
0,9997;-0,35478;0,14064;0,06266
1,0016;-0,38166;0,13392;0,04923
1,0051;-0,42991;0,13881;0,04984
1,0058;-0,41220;0,07589;0,04495
1,0094;-0,39021;0,02030;0,04067
1,0153;-0,35967;-0,04567;0,04067
1,0153;-0,38105;0,07834;0,04312
1,0153;-0,38105;0,07834;0,04312
1,0178;-0,40976;0,17302;0,04251
1,0178;-0,39815;0,21212;0,04923
1,0200;-0,37616;0,23716;0,03945
1,0227;-0,34989;0,31413;0,04128
1,0238;-0,33034;0,37949;0,03945
1,0260;-0,31263;0,47662;0,04312
1,0283;-0,33767;0,42775;0,04128
1,0340;-0,32424;0,41370;0,03640
1,0340;-0,31752;0,14553;0,02174
1,0369;-0,30713;0,02091;0,01685
1,0369;-0,28575;-0,09026;0,01074
1,0378;-0,26987;-0,32484;-0,01430
1,0392;-0,26376;-0,44029;-0,02286
1,0468;-0,23871;-0,63393;-0,05340
1,0469;-0,20939;-0,82758;-0,09311
1,0469;-0,18984;-0,92837;-0,10288
1,0490;-0,14953;-1,10552;-0,14136
1,0544;-0,10738;-1,27351;-0,17924
1,0550;-0,08050;-1,41828;-0,22383
1,0551;-0,06340;-1,48426;-0,25010
1,0557;-0,04507;-1,54779;-0,27820
1,0586;-0,00842;-1,69928;-0,33745
1,0630;0,04045;-1,84772;-0,40037
1,0648;0,06122;-1,91064;-0,42847
1,0648;0,10215;-2,01205;-0,49872
1,0661;0,14063;-2,09512;-0,56653
1,0686;0,15652;-2,13727;-0,59951
1,0741;0,19195;-2,21974;-0,66915
1,0741;0,23348;-2,35169;-0,76078
1,0741;0,23348;-2,35169;-0,76078
1,0757;0,24937;-2,44820;-0,82126
1,0775;0,25548;-2,49952;-0,84752
1,0804;0,26036;-2,59725;-0,89517
1,0816;0,26097;-2,69988;-0,93244
1,0838;0,25120;-2,74814;-0,94771
1,0856;0,23654;-2,81472;-0,96298
1,0887;0,21882;-2,83610;-0,97275
1,0947;0,17667;-2,87825;-0,97703
1,0947;0,07222;-2,83427;-0,94343
1,0954;0,07222;-2,83427;-0,94343
1,0976;-0,06095;-2,66323;-0,88418
1,0976;-0,25032;-2,37246;-0,78827
1,1015;-0,36211;-2,20997;-0,73574
1,1015;-0,58385;-1,87643;-0,62639
1,1049;-0,77566;-1,59177;-0,53232
1,1052;-0,86119;-1,47571;-0,49383
1,1075;-1,00230;-1,27168;-0,42481
1,1142;-1,06399;-1,17394;-0,39610
1,1142;-1,22893;-0,89844;-0,31363
1,1148;-1,27780;-0,81841;-0,28736
1,1159;-1,32911;-0,74511;-0,25132
1,1182;-1,42196;-0,61683;-0,18413
1,1203;-1,50748;-0,50871;-0,11082
1,1218;-1,54902;-0,46167;-0,06684
1,1247;-1,61683;-0,37920;0,01624
1,1252;-1,64676;-0,34866;0,05839
1,1280;-1,69074;-0,30162;0,13780
1,1345;-1,72434;-0,27413;0,20988
1,1346;-1,74450;-0,25459;0,27952
1,1346;-1,75427;-0,24909;0,30701
1,1365;-1,76710;-0,23993;0,35771
1,1376;-1,77321;-0,23687;0,37421
1,1401;-1,77443;-0,22832;0,40902
1,1424;-1,77687;-0,21549;0,42369
1,1448;-1,77565;-0,17517;0,44507
1,1464;-1,77443;-0,10553;0,46461
1,1495;-1,77687;-0,06522;0,47072
1,1540;-1,77443;0,02397;0,48722
1,1552;-1,76527;0,17485;0,50921
1,1565;-1,76527;0,17485;0,50921
1,1565;-1,75244;0,29519;0,52753
1,1586;-1,74938;0,35933;0,53242
1,1617;-1,73472;0,49678;0,55197
1,1618;-1,71579;0,63422;0,57152
